identificacion_expediente,fecha_ingreso,area_emisora,genero_solicitante,referencia_expediente,area_responsable_respuesta,sintesis_respuesta,nombre_cargo_firmante_respuesta,fecha_respuesta
EX-2017-00565162-APN-OA#MJ,2017-01-13,OFICINA ANTICORRUPCION,Masculino,SOLICITA INFORMACION SOBRE LOS 126 FUNCIONARIOS DENUNCIADOS POR LA OA POR POSIBLE COMISION DE DELITO TIPIFICADO EN EL ART 268 (3) COD PENAL,"SECRETARIA DE ETICA PUBLICA, TRANSPARENCIA Y LUCHA CONTRA LA CORRUPCION",Mediante NO-2017-1269012-APN-OA#MJ se le informa que lo solicitado se encuentra publicado en la página https:www.argentina.gob.ar/noticias/listado-de-funcionarios-denunciados-por-omision-de-ddjj,"LAURA ALONSO- SECRETARIA DE ETICA PUBLICA, TRANSPARENCIA Y LUCHA CONTRA LA CORRUPCION",2017-01-30
EX-2017-00740741-APN-SECDHYPC#MJ,2017-01-18,SECRETARIA DE DERECHOS HUMANOS Y PLURALISMO CULTURAL,Masculino,SOLICITA INFORMACION SOBRE OTORGAMIENTO DE BENEFICIOS DE LEY 24.411,SECRETARIA DE DERECHOS HUMANOS Y PLURALISMO CULTURAL,Mediante PV-2017-1477890-APN-SECDHYPC#MJ informa el rechazo del pedido,CLAUDIO AVRUJ- SECRETARIO DE DERECHOS HUMANOS,2017-02-02
EX-2017-01779465-APN-DDMIP#MJ,2017-02-08,"DIRECCION DE DESPACHO, MESA DE ENTRADAS E INFORMACION AL PUBLICO",Femenino,SOLICITA INFORMACION DE DATOS OBRANTES EN IGJ DE EMPRESAS PATAGONIA ENERGIA SA; LA ESCONDIDO SA Y LAGO ESCONDIDO SRL,INSPECCION GENERAL DE JUSTICIA,Mediante IF-2017-02591913-APN-DRNS#IGJ se remite  la información requerida,CECILIA LORENA FRANCONERI- JEFE DEPARTAMENTO DIRECCION NACIONAL DE SOCIEDAD- INSPECCION GENERAL DE JUSTICIA,2017-02-20
EX-2017-01914015-APN-DDMIP#MJ,2017-02-10,"DIRECCION DE DESPACHO, MESA DE ENTRADAS E INFORMACION AL PUBLICO",,"Pedido de información y datos estadísticos de esta Oficina de Monitoreo, en relación al periodo comprendido entre los años 2014 y 2017, requeridos por la Defensoría del Pueblo de la ciudad de Buenos Aires",SUBSECRETARIA DE POLITICA CRIMINAL,MEDIANTE IF-2017-22655390-APN-SSPC#MJ SE COMUNICA NOTA DE LA SSPC N° 1502 EN LA CUAL SE ADJUNTO EL INFORME ELABORADO POR LA OFICINA DE MONITOREO DE PUBLICACION DE AVISOS DE OFERTA DE COMERCIO SEXUAL.,JUAN JOSE BENITEZ- SUBSECRETARIO DE POLITICA CRIMINAL,2017-05-19
EX-2017-02176743-APN-DDMIP#MJ,2017-02-15,"DIRECCION DE DESPACHO, MESA DE ENTRADAS E INFORMACION AL PUBLICO",Masculino,CONTRATACIONES REALIZADAS DESDE EL 10/XII/15 HASTA 14/II/2017 Y ADJUNTAR COPIA RESOL.ADM.Y DICTAMENES; CONVENIOS SUSCRIPTOS EN EL MISMO PERIODO.,ENLACE RESPONSABLE DE ACCESO A LA INFORMACION,Mediante IF-2017-32605504-APN-DDMIP#MJ se le informa que lo solicitado se encuentra publicado en la página https:cdn.jus.gov.ar/clientes/proregi/resoluciones,LUIS CARLOS MOSQUERA - ENLACE TITULAR RESPONSABLE DE ACCESO A LA INFORMACION,2017-03-15
EX-2017-03520140-APN-DCTA#PTN,2017-03-10,PROCURACION DEL TESORO DE LA NACION,Femenino,SOLICITA INFORMACION RELACIONADA CON EL REGISTRO UNICO DE JUICIOS,SUBDIRECCION DE AUDITORIA DE LA PROCURACION DEL TESORO DE LA NACION,"Se responde mediante envío de nota con CD que contiene archivos de: base de datos de juicios, Juicios de la Anses, Ejecuciones Fiscales del Ministerio de Trabajo y juicios contenciosos de la AFIP, cuadros estadísticos y causas de relevancia económica."," Dra. Mercedes CAPELLINO DE WILLIAMS, Subdirectora Nacional de Auditoría - PTN",2017-04-19
EX-2017-3522947-APN-DCTA#PTN,2017-03-13,Procuración del Tesoro de la Nación,Femenino,"Solicita se le indique la cantidad (número) de sumarios administrativos disciplinarios que involucran a los agentes de la máxima categoría de la Administración Pública Nacional que revisten con categoría A y B, y aquellosque ejerzan/ejercieron funciones ejecutivas, abiertos durante los años 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015 y 2016 o hasta el último dato disponible en los registros públicos.",Procuración del Tesoro de la Nación.,Se da respuesta al requeriento mediante PV-2017-03732407-APN-DNSIA#PTN,Alfredo Luis Repetto - Representante titular de la Dirección Nacional de Sumarios e Investigaciones Administrativas - Procuración del Tesoro de la Nación,2017-03-15
EX-2017-3517386-APN-DCTA#PTN,2017-03-13,Procuración del Tesoro de la Nación,Femenino,Solicita nombre de los estudios jurídicos y/o abogados contratados en el exterior por el Estado Argentino.,Procuración del Tesoro de la Nación.,Se da respuesta al requeriento mediante IF-2017-07512624-APN-DNAYCI#PTN,Silvina Sandra Gonzalez Napolitano - Directora Nacional de Asuntos y Controversias Internacionales,2017-04-27
EX-2017-04575415-APN-DDMIP#MJ,2017-03-27,"DIRECCION DE DESPACHO, MESA DE ENTRADAS E INFORMACION AL PUBLICO",Femenino,"SOLICITA INFORMACION SOBRE DEFINICION DE DERECHOS HUMANOS, VIGENCIA DE PS DDHH EN ARGENTINA E INFLUENCIA DE LOS DDHH EN LA SALUD",SECRETARIA DE DERECHOS HUMANOS Y PLURALISMO CULTUTAL,Mediante nota NO-2017-09302592-APN-SECDHYPC#MJ se remite informe IF-2017-07755094-APN-SSPDH#MJ elaborado por la Subsecretaría de Protección de Derechos Humanos,CLAUDIO AVRUJ- SECRETARIO DE DERECHOS HUMANOS,2017-05-19
EX-2017-04901289-APN-OA#MJ,2017-03-27,OFICINA ANTICORRUPCION,Masculino,SOLICITA LAS PREGUNTAS QUE EL ORGANISMO FORMULO A HORACIO REYSER S/ MEMORANDUM CON QATAR,"SECRETARIA DE ETICA PUBLICA, TRANSPARENCIA Y LUCHA CONTRA LA CORRUPCION",Mediante NO-2017-05697060-APN-OA#MJ se remite copia del IF-2017-05331535-APN-OA#MJ,"LAURA ALONSO- SECRETARIA DE ETICA PUBLICA, TRANSPARENCIA Y LUCHA CONTRA LA CORRUPCION",2017-04-07
EX-2017-06203116-APN-DDMIP#MJ,2017-04-07,"DIRECCION DE DESPACHO, MESA DE ENTRADAS E INFORMACION AL PUBLICO",,FIDEICOMISO CIEGO RELACIONADO CON BIENES DEL PRESIDENTE DE LA NACION,INSPECCION GENERAL DE JUSTICIA,"Se informa vía e-mail que por Resol Gral. I.G.J. N° 07/2015, el solicitante deberá acompañar un formulario E debidamente timbrado",CECILIA LORENA FRANCONERI- JEFE DEPARTAMENTO DIRECCION NACIONAL DE SOCIEDAD- INSPECCION GENERAL DE JUSTICIA,2017-05-04
EX-2017-6312445-APN-DNPDP#MJ,2017-04-12,Dirección Nacional de Protección de Datos Personales,Femenino,"Solicita listado de expedientes en curso contra ADT Services S.A. y copia del Exp- S04:16158/16, junto con el listado de llamados denunciados.",Dirección Nacional de Protección de Datos Personales,"Me dirijo a Ustedes, en relación a las actuaciones de la referencia, a fin de dar respuesta a la nota presentada por la firma ADT SECURITY SERVICES S.A, ante esta Dirección Nacional de Protección de Datos Personales, el día 11 de abril de 2017. Atento ell",Pablo Andrés Segura - Coordinador Técnico-Legal de la DNPDP,2017-04-12
EX-2017-6540151-APN-OA#MJ,2017-04-17,OFICINA ANTICORRUPCION,MASCULINO,SOLICITA INFORMACION RELACIONADA SOBRE EL MEMORANDO DE ENTENDIMIENTO ENTRE EL FONDO DE GARANTIA DE SUSTENTABILIDAD DEL SISTEMA INTEGRADO PREVISIONAL ARGENTINO Y LA AUTORIDAD DE INVERSION DE QATAR (QIA POR SUS SIGLAS EN INGLES),OFICINA ANTICORRUPCION,"Tengo el agrado de dirigirme a usted, en mi carácter de Directora de Planificación de Políticas de Transparencia de la OFICINA ANTICORRUPCIÓN, con relación a su solicitud de Acceso a la Información Pública referida al proceso de negociación del Memorando ",MORA KANTOR- Directora de Planificación de Políticas de Transparencia,2017-05-03
EX-2017-11713173-APN-DDMIJ#MJ,2017-06-14,"DIRECCION DE DESPACHO, MESA DE ENTRADAS E INFORMACION AL PUBLICO",,SOLICITA INFORMACION SOBRE EL PROGRAMA DE TRATAMIENTO PARA OFENSORES SEXUALES (POS),SUBSECRETARIA DE RELACIONES CON EL PODER JUDICIAL Y ASUNTOS PENITENCIARIOS,Mediante Nota SsRPJyAP N° 1196/17 se remite IF -2017-1287478-APN-DS#SPF elaborado por el Servicio Penitenciario Federal,Juan Bautista MAHIQUES- Subsecretario de Relaciones con el Poder Judicial y Asuntos Penitenciarios,2017-07-14
EX-2017-11713502-APN-DDMIP#MJ,2017-06-14,"DIRECCION DE DESPACHO, MESA DE ENTRADAS E INFORMACION AL PUBLICO",,"SOLICITAN INFORMACION RELACIONADA CON SENTENCIAS JUDICIALES EN CASOS DE VIOLACION, ABUSO SEXUAL, VIOLENCIA DE GENERO Y FEMICIDIO.",SUBSECRETARIA DE RELACIONES CON EL PODER JUDICIAL Y ASUNTOS PENITENCIARIOS,Mediante Nota SsRPJyAP N° 1073/17 se pone en conocimiento que la información requerida es ajena a la competencia del Ministerio de Justicia y Derechos Humanos.,Juan Bautista MAHIQUES- Subsecretario de Relaciones con el Poder Judicial y Asuntos Penitenciarios,2017-06-21
EX-2017-11923612-APN-DDMIP#MJ,2017-06-16,"DIRECCION DE DESPACHO, MESA DE ENTRADAS E INFORMACION AL PUBLICO",Femenino,"EN EL MARCO DEL DECRETO N°1172/03 DE ACCESO A LA INFORMACION PUBLICA, RELACIONADO CON EL PROGRAMA NACIONAL DE RESCATE Y ACOMPAÑAMIENTO A LAS PERSONAS DAMNIFICADAS POR EL DELITO DE TRATA.",,SE CUMPLIMENTO LO REQUERIDO,ZAIDA GATTI - COORD.DEL PROGRAMA NAC.DE RESCATE Y ACOMPAÑAMIENTO A LAS PERS.DAMNIFICADAS POR EL DELITO DE TRATA,2017-06-16
EX-2017-11881384-APN-OA#MJ,2017-06-16,,,,,POR ERROR EN CARATULACIÓN SE LE DIÓ CURSO CON EX-11882480- APN-OA#MJ,CLAUDIO GERBER - RESPONSABLE DE MESA DE ENTRADAS - OFICINA ANTICORRUPCION,2017-06-27
EX-2017-11882480-APN-OA#MJ,2017-06-16,OFICINA ANTICORRUPCION,Masculino,SOLICITA EL LISTADO DE DENUNCIAS PRESENTADAS EN CONTRA DEL INCAA Y DE SUS ACTUALES Y EX FUNCIONARIOS,DIRECCION DE PLANIFICACION DE POLITICAS DE TRANSÁRENCIA DE LA OFICINA ANTICORRUPCION,"Mediante NO-2017-13751615-APN-OA#MJ Se detalla el número de registro informático, el asunto y origen de las denuncias que tramitan en la Dirección de Planificación de Políticas de Transparencia.","LAURA ALONSO- SECRETARIA DE ETICA PUBLICA, TRANSPARENCIA Y LUCHA CONTRA LA CORRUPCION",2017-07-07
EX-2017-12033818-APN-DDMIP#MJ,2017-06-19,,,,,,,
EX-2017-12280200-APN-DDMIP#MJ,2017-06-22,"DIRECCION DE DESPACHO, MESA DE ENTRADAS E INFORMACION AL PUBLICO",Femenino,SOLICITA INFORMACION SOBRE DENUNCIAS DE VIOLENCIA DE GENERO,SUBSECRETARIA DE RELACIONES CON EL PODER JUDICIAL Y ASUNTOS PENITENCIARIOS,SE ENVIA MAIL ADJUNTANDO LA NOTA SSRPJYAP N° 1165,LUIS CARLOS MOSQUERA - ENLACE TITULAR RESPONSABLE DE ACCESO A LA INFORMACION,2017-07-07
EX-2017-12507782-APN-INAI#MJ,2017-06-26,,,,,,,
EX-2017-12527943-APN-INAI#MJ,2017-06-26,MESA DE ENTRADAS INAI,Femenino,SOLICITA INFORMACION SOBRE COMUNIDADES INDIGENAS DE LA PROVINCIA DE NEUQUEN,INAI,SE REMITE NOTA CONTENIDA EN EL EXPEDIENTE COMO IF-2017-30572736-APN-INAI#MJ EN LA QUE SE DETALLA LISTADO DE COMUNIDADES INDIGENAS DE NEUQUEN ,RAUL EDUARDO RUIDIAZ -PRESIDENTE DEL INAI,2017-08-10
EX-2017-12914282-APN-DCTA-PTN,2017-06-30,PROCURACION DEL TESORO DE LA NACION,Masculino,SOLICITA INFORMACION SOBRE DEMANDAS INICIADAS CONTRA LA REPUBLICA ARGENTINA POR  EECTRICIDAD ARGENTINA S.A. Y EDF INTERNACIONAL S.A.,PROCURACION DEL TESORO DE LA NACION,NO-2017-16942478-APN-PTN,BERNARDO SARAVIA FRIAS- PROCURADOR DEL TESORO DE LA NACION,2017-08-11
EX-2017-13396214-APN-DCTA#PTN,2017-07-05,PROCURACION DEL TESORO DE LA NACION,,,,,,
EX-2017-14370861-APN-OA#MJ,2017-07-13,OFICINA ANTICORRUPCION,Femenino,SOLICITA COPIA DEL CONVENIO DE LA OA CON ACIJ (PLAN IMPLEMENTACION POLITICAS DE TRANSPARENCIA MENDOZA) ,OFICINA ANTICORRUPCION,NO-2017-15981556-APN-OA#MJ,MORA KANTOR,2017-08-01
EX-2017-14412111-APN-OA#MJ,2017-07-14,OFICINA ANTICORRUPCION,Femenino,SOLICITA COPIA INVESTIGACION PRELIMINAR N° 10139 Y DEL EXP COMPLETO RELAC CON LA FIRMA CONSTRUCTORA NORBERTO ODEBRECHT S.A.,OFICINA ANTICORRUPCION,NO-2017-15942422-OA#MJ,IGNACIO MARTIN IRIGARAY- DIRECTOR DE INVESTIGACIONES- OA,2017-08-01
EX-2017-14656465-APN-DCTA#PTN,2017-07-17,PROCURACION DEL TESORO DE LA NACION,Masculino,SOLICITA INFORMACION SOBRE AVANCE DE RENEGOCIACION DE LOS ACCESOS NORTE Y OESTE,PROCURACION DEL TESORO DE LA NACION,NO-2017-18274138-APN-PTN,MARIA MERCEDES GARCIA. ASESORA LEGAL PTN,2017-08-28
EX-2017-15494986-APN-OA#MJ,2017-07-26,OFICINA ANTICORRUPCION,Masculino,SOLICITA INFORMACION SOBRE CARPETA SISA 12774 REF. CONFLICTO DE INTERESES EN MARCO DE LA LEY 25.188,DIRECCION DE PLANIFICACION DE POLITICAS DE TRANSÁRENCIA DE LA OFICINA ANTICORRUPCION,INFORMA QUE LA CARPETA SISA 12774 SE ENCUENTRA EN TRAMITE Y LO QUE EN ELLA SE ANALIZA,ROCIO RIESCO- DIRECCION DE PLANIFICACION DE POLITICAS DE TRANSPARENCIA- OA,2017-08-07
EX-2017-15598127-APN-DMENYD#MI,2017-07-27,"TAD - DIRECCION DEMESA DE ENTRADAS, NOTIFICACIONES Y DESPACHO DEL MINISTERIO DEL INTERIOR",Femenino,SOLICITA NOMINA GENERAL DE ASPIRANTES A GUARDA CON FINES ADOPTIVOS,DIRECCION NACIONAL DEL REGISTRO UNICO DE ASPIRANTES A GUARDA CON FINES ADOPTIVOS,NO-2017-17342360-APN-RUAGFA#MJ,LUIS CARLOS MOSQUERA - ENLACE TITULAR RESPONSABLE DE ACCESO A LA INFORMACION,2017-08-16
EX-2017-15601404-APN-DMENYD#MI,2017-07-27,"TAD - DIRECCION DEMESA DE ENTRADAS, NOTIFICACIONES Y DESPACHO DEL MINISTERIO DEL INTERIOR",Femenino,SOLICITA INFORMACION SOBRE PERSONAS EN SITUACION DE ADOPTABILIDAD Y EVOLUCION DEL TEMA,DIRECCION NACIONAL DEL REGISTRO UNICO DE ASPIRANTES A GUARDA CON FINES ADOPTIVOS,NO-2017-17318968-APN-RUAGFA#MJ,LUIS CARLOS MOSQUERA - ENLACE TITULAR RESPONSABLE DE ACCESO A LA INFORMACION,2017-08-22
EX-2017-15909550-APN-DMENYD#MI,2017-08-01,"TAD - DIRECCION DEMESA DE ENTRADAS, NOTIFICACIONES Y DESPACHO DEL MINISTERIO DEL INTERIOR",Femenino,SOLICITA REGISTRO ACTUALIZADO DE LAS DENUNCIAS PRESENTADAS ANTE EL INADI Y SU EVOLUCION HISTORICA,INADI,ADJUNTA IF-2017-16985438-APN-DAVIC#INADI,DRA. ANDREA GISELLA AVRUJ- DIRECTORA ASUNTOS JURIDICOS INADI,2017-08-17
EX-2017-16240406-APN-DMENYD#MI,2017-08-04,"TAD - DIRECCION DEMESA DE ENTRADAS, NOTIFICACIONES Y DESPACHO DEL MINISTERIO DEL INTERIOR",Femenino,SOLICITA INFORMACION RELACIONADA CON ELREGISTRO DE CAUSAS DE CORRUPCION SISTEMATIZADAS DESDE EL AÑO 1990 A LA FECHA.,OFICINA ANTICORRUPCION,MEDIANTE IF- 2017- 183566883-APN-DDMIYP#MJ SE ADJUNTA INFORME IF-2017-18050660-APN-OA#MJ DE LA OFICINA ANTICORRUPCION,LUIS CARLOS MOSQUERA - ENLACE TITULAR RESPONSABLE DE ACCESO A LA INFORMACION,2017-09-01
EX-2017-16808494-APN-OA#MJ,2017-08-10,OFICINA ANTICORRUPCION,MASCULINO,SOLICITA EN EL MARCO DEL DECRETO 1172/03 SE BRINDE INFORMACIÓN RESPECTO DE LOS COMPROMISOS ASUMIDOS POR ARGENTINA EN LA CUMBRE GLOBAL ANTICORRUPCION CELEBRADA EL DIA 12/05/06 EN LONDRES. NE 3491 SISA 13697,OFICINA ANTICORRUPCION,"SE BRINDA LA INFORMACIÓN SOLICITADA, VINCULADA A LOS COMPROMISOS ASUMIDOS POR ARGENTINA EN LA CUMBRE GLOBAL ANTICORRUPCIÓN CELEBRADA EL 12 DE MAYO DE 2016 EN LONDRES.",MARIA LAURA ESCUDER - ASESOR - OFICINA ANTICORRUPCION,2017-08-30
EX-2017-16801482-APN-DMENYD#MI,2017-08-10,"TAD - DIRECCION DEMESA DE ENTRADAS, NOTIFICACIONES Y DESPACHO DEL MINISTERIO DEL INTERIOR",Femenino,SOLICITA LISTADO HISTORICOS DE LOS BALANCES PRESENTADOS ANTE IGJ POR LAS SIGUIENTES FIRMAS: 1542701 SOCMA ALIMENTOS S.A; 907574 SOCMA S.A; 223161 SOCMA AMERICANA S.A; 209567 SIDECO AMERICANA S.A; 1683359 MACRI INVESTMENT GROUP S.A; 1683357 SOCMA FARINACEOS S.A; 1856293 AGRO G (AGROPECUARIA DEL GUAYQUIRARO) S.A; 1856292 MOLINO ARROCERO RIO GUAYQUIRARO S.A; 1683360 SOCMA CARNICOS S.A; 1683361 SOCMA CORP. S.A; 1683362 MEAT AMERICAN CORP. S.A; 1683363 FLOUR AMERICAN CORP. S.A; 1795795 FONRES S.A,INSPECCION GENERAL DE JUSTICIA,"MEDIANTE INFORME IF-2017-18800484-APN-DRNS#IGJ SE REMITEN COMO ARCHIVOS EMBEBIDOS, LAS CONSTACIAS DEL SISTEMA INFORMATICO  DEL LISTADO HISTORICO DE BALANCES PRESENTADOS.",CECILIA LORENA FRANCONERI- JEFE DEPARTAMENTO DIRECCION NACIONAL DE SOCIEDAD- INSPECCION GENERAL DE JUSTICIA,2017-08-31
EX-2017-18062342-APN-INADI#MJ,2017-08-24,,,,,ESTE LEGAJO NO NO TUVO CURSO YA QUE SE GESTIONO POR OTRO EXPEDIENTE,DEBORA BUCCI - RESPONSABLE DE MESA DE ENTRADAS - INADI,
EX-2017-18067555-APN-DDMIP#MJ,2017-08-24,"DIRECCION DE DESPACHO, MESA DE ENTRADAS  E INFORMACION AL PUBLICO",Femenino,SOLICITA INFORMACION SOBRE LA CANTIDAD DE DENUNCIAS REALIZADAS SOBRE VIOLENCIA OBSTETRICA EN CABA DESDE EL AÑO 2015 AL PRIMER SEMESTRE DEL 2017,COMISION NACIONAL COORDINADORA DE ACCIONES PARA LA ELABORACION DE SANCIONES DE LA VIOLENCIA DE GENERO -CONSAVIG-,"MEDIANTE INFORME IF-2017-23412294-APN-SSAJ#MJ SE INFORMA QUE LA COMISION HA COMENZADO A RECEPCIONAR LAS DENUNCIAS S/VIOLENCIA OBSTETRICA A PARTIR DE DICIEMBRE DE 2016, POR LO QUE SE INFORMA A PARTIR DE ESE MOMENTO",LUIS CARLOS MOSQUERA - ENLACE TITULAR RESPONSABLE DE ACCESO A LA INFORMACION,2017-10-05
EX-2017-18068788-APN-DDMIP#MJ,2017-08-24,"DIRECCION DE DESPACHO, MESA DE ENTRADAS E INFORMACION AL PUBLICO",Femenino,SOLICITA INFORMACIO RELACIONADA CON EVALUACION DE SELECCIÓN DEL FUNCIONARIO A POSTULAR COMO REPRESENTANTE DE ESTE MINISTERIO ANTE LA CONARE,JEFATURA DE GABINETE DE ASESORES DEL SR. MINISTRO,Mediante IF-2017-20751787-APN-DDMIP#MJ se remite IF-2017-19511069-APN-DGA#MJ; IF-2017-19989268-APN#MJ; PV-2017-18468518-APN-DDMIP#MJ Y CORREO ELECTRONICO INFORMANDO LA NO EXISTENCIA DE OBSERVACIONES A LA POSTULACION DEL LIC. CROCI,LUIS CARLOS MOSQUERA - ENLACE TITULAR RESPONSABLE DE ACCESO A LA INFORMACION,2017-09-14
EX-2017-18084802-APN-INADI#MJ,2017-08-25,"INSTITUTO NACIONAL CONTRA LA DISCRIMINACION, LA XENOFOBIA Y EL RACISMO - INADI",Femenino,CRITERIOS Y REFERENCIAS A LOS PROCEDIMIENTOS QUE EFECTUA EL INADI ANTE LA CONARE,INADI,SE DIO RESPUESTA MEDIANTE IF-2018-08257365-APN-INADI#MJ DICTAMEN N° 312/17,ANDREA GISELA AVRUJ-  DIRECTORA ASUNTOS JURICOS - INADI-,2017-08-29
EX-2017-18187541-APN-INADI#MJ,2017-08-25,"INSTITUTO NACIONAL CONTRA LA DISCRIMINACION, LA XENOFOBIA Y EL RACISMO - INADI",masculino,SOLICITA SE LE INFORME LA CANTIDAD DE DENUNCIAS EN EL MARCO DE LA LEY 23592 EN EL AMBITO DE CABA EN LOS ULTIMOS 5 AÑOS,INADI,Referencia: EX-2017-18187541 - RESPUESTA NOTA Nº 205/17 SEÑOR Ramiro Manuel FIHMAN Av. Donato Álvarez 2029 1416 – Ciudad Autónoma de Buenos Aires Tengo el agrado de dirigirme a Usted en mi carácter de Directora de Asuntos Jurídicos del Instituto Nacional ,ANDREA GISELA AVRUJ-  DIRECTORA ASUNTOS JURICOS - INADI-,2017-09-07
EX-2017-18329131-APN-DDMIP#MJ,2017-08-28,"DIRECCION DE DESPACHO, MESA DE ENTRADAS E INFORMACION AL PUBLICO",,SOLICITA COPIAS DE ADQUISICION DE SERV PROFESIONALES Y/O DE TECNOLOGIA PARA EL PROCESAMIENTODIGITAL DE BASES DE DATOS REL ATENTADO AMIA OBRANTES EN EX2017-11032368-APN-DCYSS#MJ POSTERIORES AL 17/07/2017,JEFATURA DE GABINETE DE ASESORES DEL SR. MINISTRO,SE REMITE MAIL CON: IF-2017-15407139-APN-DGAJ#MJ Y NO-2017-14747280-APN-UIECA#MJ ,LUIS CARLOS MOSQUERA - ENLACE TITULAR RESPONSABLE DE ACCESO A LA INFORMACION,2017-08-29
EX-2017-18772579-APN-DMENYD#MI,2017-08-31,"TAD - DIRECCION DEMESA DE ENTRADAS, NOTIFICACIONES Y DESPACHO DEL MINISTERIO DEL INTERIOR",Femenino,SOLICITA INFORMACION RELACIONADA CON LA CANTIDAD DE TRANSFERENCIAS NOTIFICADAS ANTE EL REGISTRO NACIONAL DE TIERRAS RURALES DESDE EL 1RO DE ENERO DE 2016 HASTA EL 31/07/2017,REGISTRO NACIONAL DE TIERRAS RURALES,"SE RESPONDE MEDIANTE IF-2017-20297701-APN-DNRNTR#MJ ADJUNTANDO INFO EXTRA SOBRE EXTRANJERIZACION POR PROVINCIA Y POR DEPARTAMENTO, ACTUALIZADO AL 31/08/2017",MARIA CRISTINA BRUNET - DIRECTORA NACIONAL DEL REGISTRO NACIONAL DE TIERRAS RURALES,2017-09-14
EX-2017-18829545-APN-DMENYD#MI,2017-09-01,"TAD - DIRECCION DEMESA DE ENTRADAS, NOTIFICACIONES Y DESPACHO DEL MINISTERIO DEL INTERIOR",Femenino,SOLICITA DATOS DE SITUACION DE ADOPTABILIDAD EN ARGENTINA,DIRECCION NACIONAL DEL REGISTRO UNICO DE ASPIRANTES A GUARDA CON FINES ADOPTIVOS,SE RESPONDE ELECTRONICAMENTE MEDIANTE IF-2017-25955141-APN-DDMIP#MJ ADJUNTANDO IF-2017-25178163-APN-RUAGFA#MJ,SILVIA PARENTI - ENLACE SUPLENTE DE ACCESO A LA INFORMACION-,2017-10-30
EX-2017-19376038-APN-DMENYD#MI,2017-09-06,"TAD - DIRECCION DEMESA DE ENTRADAS, NOTIFICACIONES Y DESPACHO DEL MINISTERIO DEL INTERIOR",Femenino,SOLICITA EL LISTADO DE VIAJES OFICIALES EN AVION ABONADOS CON DINERO DEL ESTADO REALIZADOS POR EL MINISTRO DESDE COMIENZO DE SU GESTION A LA FECHA,JEFATURA DE GABINETE DE ASESORES DEL SR. MINISTRO,MEDIANTE IF-2017-20820827 Y CORREO ELECTRONICO SE REMITIO EL LISTADO DE VIAJES OFICIALES REALIZADOS EN AVION DESDE EL 18/12/15 AL 30/08/17,LUIS CARLOS MOSQUERA - ENLACE TITULAR RESPONSABLE DE ACCESO A LA INFORMACION,2017-09-15
EX-2017-19976500-APN-DMENYD#MI,2017-09-12,"TAD - DIRECCION DEMESA DE ENTRADAS, NOTIFICACIONES Y DESPACHO DEL MINISTERIO DEL INTERIOR",Femenino,"SOLICITA INFORMACION RELACIONADA CON EL COMPLEJO PENITENCIARIO FEDERAL II- MARCOS PAZ, DE LA PCIA. DE BUENOS AIES",SUBSECRETARIA DE RELACIONES CON EL PODER JUDICIAL Y ASUNTOS PENITENCIARIOS,MEDIANTE NOTA N° 2095/17 DE LA SSRPJyAP SE REMITE IF-26973211-APN-SSRPJYAP#MJ,JUAN BAUTISTA MAHIQUES - SUBSECRETARIO DE RELACIONES CON EL PODER JUDICIAL Y ASUNTOS PENITENCIARIOS,2017-11-06
EX-2017-20490206-APN-DDMIP#MJ,2017-09-15,Mesa General de Entradas,Femenino,"SOLICITA DETALLE DE LOS CONVENIOS Y/O CONTRATOS FIRMADOS CON UNIVERSIDADES U OTRAS INSTITUCIONES DE ENSEÑANZA, CENTROS DE INVESTIGACION Y CONSULTORAS DESDE EL 10/12/2015 HASTA EL 12/09/2017",JEFATURA DE GABINETE DE ASESORES DEL SR. MINISTRO,"MEDIANTE NO-2017-25881483-APN-DDMIP#MJ SE REMITE INFORME ELABORADO POR LA DIRECCION DE DESPACHO, MESA DE ENTRADAS E INFORMACION AL PUBLICO Y DEPENDENCIAS DESCENTRALIZADAS.",SILVIA PARENTI - ENLACE SUPLENTE DE ACCESO A LA INFORMACION-,2017-10-30
EX-2017-21196819-APN-INAI#MJ,2017-09-20,,,,,,,
EX-2017-21391157-APN-DMENYD#MI,2017-09-21,"TAD - DIRECCION DEMESA DE ENTRADAS, NOTIFICACIONES Y DESPACHO DEL MINISTERIO DEL INTERIOR",Femenino,SOLICITA INFORMACION RELACIONADA SOBRE QUE NORMATIVA DE SEGURIDAD DE DATOS PERSONALES DEBEN CUMPLIR LOS RESPONSABLES DE BASES DE DATOS ESTATALES,DIRECCION NACIONAL DE PROTECCION DE DATOS PERSONALES ,MEDIANTE NOTA NO-2017-23019775-APN-DNPDP#MJ SE INFORMAN LOS PRINCIPIOS GENERALES QUE TODO USUARIO DE BASE DE DATOS DEBE ADOPTAR.,LUIS CARLOS MOSQUERA - ENLACE TITULAR RESPONSABLE DE ACCESO A LA INFORMACION,2017-10-06
